observation_id,replicate,trial_seed,state,age,condition,first_action_delta_rms,first_action_delta_ee6_rms,first_action_delta_gripper_abs,gripper_sign_changed
rep_06_S8_age_10,6,42006,S8,10,stale_hidden_fresh_ref,0.10279834460634302,0.1108663410130597,0.014980792999267578,0
rep_06_S8_age_10,6,42006,S8,10,fresh_hidden_fresh_ref,0.10821810508658711,0.11675177836907816,0.013865113258361816,0
rep_06_S8_age_11,6,42006,S8,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S8_age_11,6,42006,S8,11,fresh_hidden_empty_ref,0.17542413893341555,0.18912397062845196,0.028427839279174805,0
rep_06_S8_age_11,6,42006,S8,11,stale_hidden_fresh_ref,0.09310677945327163,0.10037966948237728,0.015021264553070068,0
rep_06_S8_age_11,6,42006,S8,11,fresh_hidden_fresh_ref,0.096983611501505,0.10458699794516294,0.014495015144348145,0
rep_06_S12_age_08,6,42006,S12,8,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S12_age_08,6,42006,S12,8,fresh_hidden_empty_ref,0.7494629465793415,0.10100716344006098,1.967396318912506,1
rep_06_S12_age_08,6,42006,S12,8,stale_hidden_fresh_ref,0.120021759366122,0.12952762319355693,0.013119757175445557,0
rep_06_S12_age_08,6,42006,S12,8,fresh_hidden_fresh_ref,0.1168681571781174,0.1261175847480761,0.013164043426513672,0
rep_06_S12_age_09,6,42006,S12,9,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S12_age_09,6,42006,S12,9,fresh_hidden_empty_ref,0.7580296134143408,0.1659025363579655,1.963955283164978,1
rep_06_S12_age_09,6,42006,S12,9,stale_hidden_fresh_ref,0.13846668508074655,0.14946474074780564,0.013149440288543701,0
rep_06_S12_age_09,6,42006,S12,9,fresh_hidden_fresh_ref,0.13168512808963453,0.14213485553045638,0.013149440288543701,0
rep_06_S12_age_10,6,42006,S12,10,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S12_age_10,6,42006,S12,10,fresh_hidden_empty_ref,0.7479117936232978,0.07808008607628249,1.9695241451263428,1
rep_06_S12_age_10,6,42006,S12,10,stale_hidden_fresh_ref,0.1085579516692136,0.11713929373739775,0.012810826301574707,0
rep_06_S12_age_10,6,42006,S12,10,fresh_hidden_fresh_ref,0.09987308645319173,0.10774213478262869,0.013123571872711182,0
rep_06_S12_age_11,6,42006,S12,11,stale_hidden_empty_ref,0.0,0.0,0.0,0
rep_06_S12_age_11,6,42006,S12,11,fresh_hidden_empty_ref,0.752410124733206,0.1262794978559601,1.966511607170105,1
